step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
0,0.3179,0.6547,0.2450,-2.0477,-0.4429,1.8851,1.1259,0.4232,0.2431,0.0916,0.4232,0.2435,0.0912,2
10,0.2743,0.5658,0.2408,-2.1618,-0.4955,1.9636,1.3418,0.4170,0.2141,0.1062,0.4185,0.2372,0.1070,2
20,0.2067,0.4895,0.2655,-2.3102,-0.4527,2.2014,1.5379,0.3985,0.2027,0.1086,0.4139,0.2309,0.1228,2
30,0.1506,0.4460,0.2881,-2.3972,-0.4502,2.3735,1.5907,0.3917,0.1955,0.1129,0.4093,0.2246,0.1387,2
40,0.1019,0.4103,0.3239,-2.4565,-0.4323,2.5181,1.5899,0.3884,0.1979,0.1223,0.4046,0.2184,0.1545,2
50,0.0609,0.3631,0.3633,-2.4996,-0.3969,2.6952,1.5637,0.3952,0.2082,0.1446,0.3947,0.2078,0.1399,2
60,0.1087,0.4171,0.2948,-2.5036,-0.4238,2.8313,1.5941,0.3966,0.2072,0.1275,0.3967,0.2095,0.1084,2
70,0.1770,0.4715,0.2202,-2.4847,-0.4996,2.9172,1.6441,0.3976,0.2117,0.1115,0.3987,0.2112,0.0770,2
80,0.2350,0.4788,0.1614,-2.4731,-0.5663,2.9621,1.6900,0.4007,0.2161,0.1115,0.4007,0.2157,0.1083,2
90,0.2159,0.4873,0.1780,-2.4606,-0.5791,2.9584,1.6964,0.4041,0.2177,0.1113,0.4006,0.2141,0.0769,2
0,0.6001,0.2307,-0.9102,-0.7070,0.2869,0.1849,0.3683,0.3794,0.0056,0.8008,0.3754,0.0060,0.8064,0
8,0.7085,0.2540,-0.9452,-0.8615,0.2952,0.3213,0.4860,0.4250,0.0304,0.7560,0.3951,0.0209,0.8154,0
16,0.8449,0.2298,-0.9056,-1.0135,0.2552,0.4863,0.6276,0.4504,0.0814,0.7170,0.4147,0.0358,0.8245,0
24,0.9391,0.2120,-0.9008,-1.0900,0.1942,0.6526,0.7554,0.4671,0.1108,0.6991,0.4343,0.0507,0.8335,0
32,0.9779,0.2154,-0.9370,-1.0855,0.1504,0.7743,0.8430,0.4818,0.1112,0.7050,0.4539,0.0656,0.8426,0
40,0.9107,0.2512,-0.8941,-0.9906,0.1159,0.8501,0.8962,0.4972,0.1100,0.7260,0.4735,0.0805,0.8517,0
48,0.7421,0.3180,-0.7541,-0.8184,0.0706,0.8874,0.9372,0.5145,0.1085,0.7507,0.4931,0.0954,0.8607,0
56,0.6097,0.3533,-0.6252,-0.7393,0.0390,0.9263,0.9647,0.5313,0.1005,0.7551,0.5131,0.1061,0.7556,0
64,0.5936,0.3311,-0.6076,-0.8079,0.0393,0.9944,0.9630,0.5429,0.0898,0.7450,0.5089,0.1039,0.7595,0
72,0.6289,0.2758,-0.5976,-0.9031,0.0451,1.0499,0.9584,0.5398,0.0959,0.7398,0.5046,0.1018,0.7635,0
80,0.6565,0.2168,-0.5867,-0.9634,0.0475,1.0839,0.9556,0.5288,0.0991,0.7469,0.5004,0.0996,0.7674,0
88,0.6737,0.1727,-0.5788,-1.0016,0.0475,1.1031,0.9539,0.5191,0.0995,0.7539,0.4961,0.0975,0.7714,0
0,-0.5144,-0.9761,0.6200,-1.7294,0.3005,0.3105,0.3865,0.0934,0.2351,0.7084,0.0946,0.2303,0.7196,2
8,-0.5991,-1.2281,0.6639,-1.9505,0.4235,0.4176,0.5002,0.0924,0.2616,0.6347,0.0954,0.2316,0.7182,2
16,-0.6704,-1.4330,0.6687,-2.0582,0.5152,0.4959,0.5760,0.0919,0.2768,0.5940,0.0962,0.2329,0.7168,2
24,-0.7153,-1.5816,0.6309,-2.0719,0.5709,0.5506,0.6168,0.0798,0.2927,0.5857,0.0970,0.2342,0.7154,2
32,-0.7475,-1.6746,0.5580,-2.0141,0.5990,0.5859,0.6246,0.0535,0.3121,0.6004,0.0978,0.2355,0.7140,2
40,-0.7745,-1.7262,0.5018,-1.9672,0.6197,0.6058,0.6142,0.0335,0.3258,0.6110,0.0986,0.2368,0.7126,2
48,-0.8009,-1.7448,0.4635,-1.9358,0.6360,0.6150,0.6010,0.0245,0.3324,0.6195,0.0995,0.2381,0.7112,2
56,-0.8175,-1.7404,0.4371,-1.9439,0.6660,0.6065,0.6002,0.0255,0.3274,0.6245,0.0373,0.3162,0.6207,2
64,-0.8285,-1.7297,0.4225,-1.9819,0.7239,0.5772,0.6236,0.0329,0.3186,0.6226,0.0524,0.2973,0.6208,2
72,-0.8351,-1.7172,0.4170,-2.0194,0.7632,0.5689,0.6270,0.0425,0.3092,0.6214,0.0675,0.2784,0.6209,2
80,-0.8401,-1.7024,0.4165,-2.0560,0.7716,0.5795,0.6107,0.0539,0.2964,0.6214,0.0826,0.2595,0.6209,2
88,-0.8450,-1.6851,0.4189,-2.0911,0.7611,0.6019,0.5828,0.0667,0.2813,0.6216,0.0977,0.2406,0.6210,2
