step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
0,-2.5390,-1.4938,-0.8572,-2.6792,-0.0422,0.8954,-1.1313,-0.1426,0.0943,0.4579,-0.1442,0.0906,0.4581,1
8,-2.6280,-1.5521,-0.8403,-2.6772,-0.0037,0.9025,-1.2558,-0.1255,0.1055,0.4688,-0.1368,0.0819,0.4708,1
16,-2.6547,-1.5903,-0.7928,-2.6855,0.0121,0.9026,-1.3642,-0.1139,0.1017,0.4774,-0.1294,0.0732,0.4836,1
24,-2.6360,-1.5928,-0.6853,-2.7011,-0.0084,0.8907,-1.4757,-0.1068,0.0837,0.4852,-0.1221,0.0645,0.4963,1
32,-2.5698,-1.6024,-0.5768,-2.7187,-0.0469,0.8765,-1.5669,-0.1019,0.0633,0.4894,-0.1147,0.0559,0.5090,1
40,-2.5005,-1.6473,-0.4944,-2.7256,-0.1036,0.8757,-1.6210,-0.0962,0.0545,0.4944,-0.1073,0.0472,0.5218,1
48,-2.4525,-1.6686,-0.4256,-2.7209,-0.1771,0.8973,-1.6516,-0.0968,0.0512,0.5018,-0.0999,0.0385,0.5345,1
56,-2.4201,-1.6726,-0.3663,-2.7076,-0.2258,0.9342,-1.6676,-0.0984,0.0471,0.5134,-0.0925,0.0298,0.5473,1
64,-2.3986,-1.6651,-0.3140,-2.6880,-0.2455,0.9593,-1.6739,-0.0972,0.0418,0.5265,-0.0851,0.0211,0.5600,1
72,-2.3842,-1.6498,-0.2671,-2.6637,-0.2376,0.9740,-1.6736,-0.0930,0.0347,0.5399,-0.0777,0.0125,0.5727,1
80,-2.3752,-1.6304,-0.2257,-2.6371,-0.2139,0.9819,-1.6694,-0.0873,0.0267,0.5527,-0.0877,0.0272,0.5499,1
88,-2.3714,-1.6461,-0.2196,-2.6514,-0.2068,0.9921,-1.6751,-0.0852,0.0239,0.5497,-0.0854,0.0242,0.5369,1
96,-2.3713,-1.6707,-0.2174,-2.6772,-0.2195,1.0009,-1.6787,-0.0847,0.0234,0.5425,-0.0832,0.0212,0.5239,1
104,-2.3724,-1.6987,-0.2145,-2.7092,-0.2275,1.0086,-1.6802,-0.0835,0.0218,0.5331,-0.0810,0.0181,0.5109,1
112,-2.3693,-1.7132,-0.1901,-2.7493,-0.2209,1.0272,-1.6924,-0.0817,0.0116,0.5226,-0.0788,0.0151,0.4978,1
120,-2.3356,-1.7249,-0.1206,-2.7924,-0.1947,1.0581,-1.7326,-0.0742,-0.0093,0.5135,-0.0765,0.0121,0.4848,1
128,-2.2490,-1.7388,-0.0682,-2.8348,-0.1518,1.0832,-1.7927,-0.0649,-0.0308,0.5020,-0.0743,0.0090,0.4718,1
136,-2.1280,-1.7480,-0.0340,-2.8759,-0.1014,1.0975,-1.8781,-0.0530,-0.0501,0.4881,-0.0721,0.0060,0.4588,1
0,0.9722,-0.1251,1.0825,-0.5124,-0.1289,0.2116,-0.3481,-0.1443,0.1693,0.9081,-0.1364,0.1767,0.9129,1
8,1.1056,-0.1447,1.2243,-0.5304,-0.1069,0.2821,-0.4561,-0.2098,0.1263,0.9057,-0.1601,0.2052,0.9458,1
16,1.1651,-0.1380,1.3704,-0.5066,-0.0685,0.3416,-0.5466,-0.2450,0.0852,0.9079,-0.1839,0.2337,0.9786,1
24,1.2161,-0.1201,1.4680,-0.4917,-0.0231,0.3930,-0.6231,-0.2634,0.0558,0.9108,-0.2076,0.2622,1.0114,1
32,1.2275,-0.1016,1.5669,-0.4858,0.0074,0.4276,-0.7049,-0.2745,0.0356,0.9122,-0.2313,0.2907,1.0442,1
40,1.2163,-0.1089,1.6089,-0.5087,0.0260,0.4624,-0.7837,-0.2894,0.0250,0.9087,-0.2550,0.3192,1.0771,1
48,1.1863,-0.1298,1.6217,-0.5450,0.0400,0.4904,-0.8568,-0.3064,0.0222,0.9011,-0.2787,0.3477,1.1099,1
56,1.1537,-0.1552,1.6076,-0.5520,0.0390,0.5108,-0.9336,-0.3137,0.0244,0.8994,-0.3035,0.0801,0.9222,1
64,1.1016,-0.1617,1.5600,-0.5298,0.0441,0.5176,-1.0365,-0.3039,0.0464,0.9061,-0.2982,0.1458,0.9469,1
72,1.0086,-0.1616,1.4906,-0.5262,0.0675,0.5247,-1.1559,-0.2888,0.0882,0.9103,-0.2929,0.2116,0.9715,1
80,0.8880,-0.1663,1.4126,-0.5161,0.0946,0.5179,-1.2842,-0.2624,0.1310,0.9146,-0.2876,0.2773,0.9962,1
88,0.7489,-0.1647,1.3592,-0.5559,0.1072,0.5238,-1.4166,-0.2346,0.1849,0.9096,-0.2823,0.3431,1.0209,1
0,-0.7637,0.8252,0.6842,-1.9519,-0.9585,2.1937,1.3334,0.5684,-0.0624,0.1085,0.5676,-0.0616,0.1087,2
8,-0.8385,0.8333,0.7242,-1.9917,-0.9854,2.2805,1.3290,0.5633,-0.0682,0.1105,0.5601,-0.0536,0.1130,2
16,-0.8835,0.8359,0.7450,-2.0300,-1.0015,2.3750,1.3413,0.5587,-0.0666,0.1124,0.5525,-0.0456,0.1172,2
24,-0.9015,0.8329,0.7630,-2.0711,-1.0091,2.4359,1.3582,0.5514,-0.0534,0.1137,0.5450,-0.0375,0.1214,2
32,-0.9114,0.8202,0.7777,-2.1088,-1.0127,2.4673,1.3765,0.5434,-0.0418,0.1166,0.5374,-0.0295,0.1256,2
40,-0.9182,0.8024,0.7907,-2.1423,-1.0144,2.4855,1.3956,0.5360,-0.0322,0.1206,0.5299,-0.0215,0.1299,2
48,-0.9238,0.7824,0.8034,-2.1741,-1.0146,2.4977,1.4145,0.5286,-0.0235,0.1249,0.5224,-0.0135,0.1341,2
56,-0.9290,0.7615,0.8164,-2.2048,-1.0138,2.5071,1.4332,0.5212,-0.0152,0.1293,0.5148,-0.0054,0.1383,2
64,-0.9237,0.7597,0.8117,-2.2159,-1.0244,2.5176,1.4483,0.5172,-0.0114,0.1270,0.5176,-0.0109,0.1196,2
72,-0.9016,0.7831,0.7821,-2.2069,-1.0545,2.5335,1.4697,0.5156,-0.0106,0.1144,0.5163,-0.0090,0.1014,2
80,-0.8743,0.7818,0.7591,-2.1994,-1.0848,2.5505,1.4937,0.5174,-0.0078,0.1116,0.5150,-0.0070,0.0831,2
88,-0.8406,0.7856,0.7467,-2.1869,-1.1202,2.5729,1.5001,0.5220,0.0036,0.1115,0.5138,-0.0051,0.0649,2
96,-0.8065,0.7926,0.7339,-2.1686,-1.1550,2.5944,1.5049,0.5280,0.0143,0.1115,0.5125,-0.0032,0.0467,2
104,-0.7977,0.8051,0.7371,-2.1565,-1.1604,2.6025,1.5188,0.5318,0.0205,0.1114,0.5259,0.0126,0.0936,2
112,-0.7907,0.8068,0.7308,-2.1482,-1.1422,2.6062,1.5366,0.5348,0.0196,0.1112,0.5185,0.0046,0.0649,2
