step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
8,-0.8341,0.7589,0.7504,-2.1511,-1.0465,2.3005,1.5268,0.5185,-0.0256,0.1095,0.5122,-0.0143,0.1118,1
16,-0.8969,0.7636,0.7733,-2.1926,-1.0783,2.4128,1.5126,0.5126,-0.0278,0.1120,0.5013,-0.0103,0.1162,1
24,-0.9292,0.7605,0.7922,-2.2398,-1.0943,2.4896,1.5157,0.5020,-0.0185,0.1138,0.4903,-0.0063,0.1206,1
32,-0.9510,0.7450,0.8087,-2.2851,-1.1020,2.5306,1.5252,0.4902,-0.0103,0.1170,0.4794,-0.0023,0.1250,1
40,-0.9694,0.7223,0.8238,-2.3265,-1.1061,2.5562,1.5375,0.4791,-0.0045,0.1213,0.4684,0.0017,0.1295,1
48,-0.9869,0.6962,0.8392,-2.3665,-1.1077,2.5749,1.5503,0.4682,0.0003,0.1259,0.4575,0.0057,0.1339,1
56,-1.0045,0.6684,0.8556,-2.4057,-1.1074,2.5906,1.5628,0.4574,0.0047,0.1305,0.4465,0.0097,0.1383,1
64,-1.0024,0.6639,0.8500,-2.4194,-1.1209,2.6020,1.5776,0.4519,0.0066,0.1286,0.4519,0.0069,0.1207,1
72,-0.9733,0.6897,0.8116,-2.4078,-1.1631,2.6156,1.6082,0.4502,0.0070,0.1165,0.4498,0.0078,0.1023,1
80,-0.9389,0.6927,0.7794,-2.3988,-1.2122,2.6347,1.6460,0.4505,0.0096,0.1114,0.4476,0.0088,0.0838,1
88,-0.8970,0.6799,0.7409,-2.3938,-1.2657,2.6863,1.6758,0.4521,0.0137,0.1113,0.4454,0.0098,0.0654,1
96,-0.8440,0.6581,0.6758,-2.3920,-1.3106,2.7699,1.7159,0.4524,0.0130,0.1111,0.4432,0.0108,0.0469,1
104,-0.8263,0.6576,0.6576,-2.3874,-1.3228,2.8039,1.7344,0.4539,0.0151,0.1114,0.4502,0.0123,0.0932,1
112,-0.8104,0.6591,0.6537,-2.3747,-1.2845,2.7862,1.7142,0.4593,0.0158,0.1110,0.4461,0.0117,0.0648,1
0,0.2561,0.5740,0.1459,-2.2449,-0.4150,1.9140,1.1201,0.3917,0.1463,0.0827,0.3935,0.1494,0.0831,1
10,0.2171,0.4927,0.1457,-2.3485,-0.4643,1.9997,1.3218,0.3806,0.1255,0.0955,0.4022,0.1753,0.1029,1
20,0.1717,0.4426,0.1802,-2.4391,-0.4492,2.1378,1.4637,0.3649,0.1264,0.0978,0.4108,0.2011,0.1227,1
30,0.1349,0.4323,0.2413,-2.4462,-0.4570,2.1271,1.5320,0.3599,0.1370,0.1024,0.4194,0.2270,0.1425,1
40,0.1080,0.4269,0.3212,-2.4195,-0.4274,2.1386,1.5736,0.3655,0.1675,0.1130,0.4280,0.2529,0.1623,1
50,0.0938,0.4197,0.3843,-2.3748,-0.3989,2.2381,1.5989,0.3868,0.2074,0.1310,0.3864,0.2069,0.1273,1
60,0.1188,0.4504,0.3396,-2.4227,-0.4212,2.4446,1.6619,0.3819,0.2088,0.1114,0.4034,0.2308,0.1041,1
70,0.1719,0.4521,0.2929,-2.4109,-0.4707,2.4875,1.7130,0.3887,0.2149,0.1122,0.4205,0.2547,0.0810,1
80,0.2122,0.4936,0.2800,-2.3116,-0.5488,2.3561,1.7565,0.4071,0.2266,0.1116,0.4075,0.2282,0.1085,1
90,0.1779,0.5002,0.3043,-2.3004,-0.5984,2.3246,1.7721,0.4113,0.2214,0.1120,0.4224,0.2535,0.0831,1
0,0.5706,0.0521,-0.4672,-0.8686,0.0379,0.2349,0.3777,0.3488,0.0517,0.8056,0.3514,0.0474,0.8111,1
8,0.5866,0.0369,-0.4480,-1.0061,0.0206,0.3732,0.5261,0.3802,0.0628,0.7732,0.4092,0.0275,0.8251,1
16,0.5699,0.0400,-0.4694,-1.0691,0.0087,0.5267,0.6606,0.4119,0.0504,0.7543,0.4670,0.0076,0.8392,1
24,0.4635,0.1187,-0.4583,-1.0143,0.0155,0.6464,0.7560,0.4547,0.0273,0.7437,0.5248,-0.0123,0.8532,1
32,0.3099,0.2208,-0.3938,-0.9009,0.0333,0.7341,0.8242,0.4957,0.0015,0.7384,0.5826,-0.0322,0.8673,1
40,0.1833,0.3091,-0.3323,-0.7905,0.0523,0.8044,0.8771,0.5276,-0.0236,0.7346,0.6403,-0.0522,0.8813,1
48,0.0845,0.3828,-0.2800,-0.7132,0.0533,0.8487,0.9053,0.5520,-0.0495,0.7238,0.6981,-0.0721,0.8954,1
56,0.0469,0.4072,-0.2646,-0.7453,0.0561,0.8899,0.9017,0.5687,-0.0665,0.7004,0.5808,-0.0562,0.7365,1
64,0.0068,0.4404,-0.2138,-0.7455,0.0618,0.9321,0.8686,0.5866,-0.0701,0.6819,0.6110,-0.0606,0.7536,1
72,-0.0292,0.4841,-0.1699,-0.7031,0.0625,0.9505,0.8146,0.6002,-0.0731,0.6720,0.6412,-0.0651,0.7707,1
80,0.0038,0.5159,-0.2522,-0.6919,0.0892,0.9489,0.7354,0.6075,-0.0796,0.6595,0.6714,-0.0696,0.7879,1
88,0.0488,0.5388,-0.3940,-0.6843,0.1281,0.9460,0.6557,0.6076,-0.0974,0.6556,0.7016,-0.0740,0.8050,1
0,-0.6802,-1.0084,0.3577,-1.6808,0.3456,0.3230,0.3317,0.0866,0.1526,0.7642,0.0931,0.1431,0.7750,0
8,-0.7342,-1.2617,0.3580,-1.8880,0.4467,0.4396,0.3813,0.0684,0.1865,0.7118,0.1297,0.1139,0.7952,0
16,-0.7733,-1.4579,0.3394,-1.9784,0.5111,0.5344,0.3973,0.0478,0.2137,0.6847,0.1663,0.0847,0.8153,0
24,-0.8273,-1.5942,0.3351,-1.9563,0.5352,0.6037,0.3819,0.0306,0.2514,0.6761,0.2029,0.0555,0.8355,0
32,-0.9133,-1.6698,0.3501,-1.8208,0.5195,0.6475,0.3477,0.0212,0.3081,0.6785,0.2394,0.0263,0.8556,0
40,-1.0172,-1.6942,0.3913,-1.6171,0.4817,0.6715,0.3204,0.0293,0.3787,0.6764,0.2760,-0.0029,0.8757,0
48,-1.1371,-1.6812,0.4788,-1.3922,0.4652,0.6688,0.3044,0.0730,0.4513,0.6543,0.3126,-0.0322,0.8959,0
56,-1.2525,-1.6636,0.5797,-1.1788,0.4731,0.6430,0.3177,0.1291,0.5094,0.6119,0.1223,0.3735,0.6776,0
64,-1.3243,-1.6621,0.6339,-1.0604,0.5291,0.6052,0.3603,0.1653,0.5371,0.5729,0.1696,0.2743,0.7093,0
72,-1.3514,-1.6752,0.6422,-1.0411,0.6154,0.5944,0.3973,0.1823,0.5460,0.5516,0.2168,0.1751,0.7410,0
80,-1.3364,-1.7035,0.6075,-1.1179,0.6890,0.6115,0.4004,0.1796,0.5393,0.5539,0.2640,0.0758,0.7727,0
88,-1.3226,-1.7287,0.5787,-1.2464,0.7413,0.6533,0.3722,0.1859,0.5163,0.5679,0.3113,-0.0234,0.8044,0
