step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
0,-2.8231,-1.7651,-0.0887,-2.9019,-0.0940,1.2469,-1.2314,-0.0903,-0.0039,0.4915,-0.0889,-0.0062,0.4934,2
8,-2.8996,-1.7456,-0.1052,-2.8998,-0.1098,1.2852,-1.4110,-0.0978,0.0058,0.4940,-0.0899,-0.0168,0.5003,2
16,-2.8754,-1.7169,-0.1004,-2.8780,-0.1100,1.2837,-1.5513,-0.0995,0.0033,0.5004,-0.0910,-0.0275,0.5073,2
24,-2.7917,-1.6841,-0.0861,-2.8573,-0.0940,1.2573,-1.6514,-0.0985,-0.0084,0.5037,-0.0920,-0.0381,0.5142,2
32,-2.7270,-1.6494,-0.0679,-2.8365,-0.0736,1.2419,-1.7149,-0.0975,-0.0201,0.5079,-0.0930,-0.0487,0.5212,2
40,-2.6825,-1.6138,-0.0473,-2.8152,-0.0511,1.2367,-1.7475,-0.0969,-0.0312,0.5132,-0.0941,-0.0594,0.5282,2
48,-2.6514,-1.5777,-0.0256,-2.7931,-0.0278,1.2378,-1.7641,-0.0967,-0.0421,0.5192,-0.0951,-0.0700,0.5351,2
56,-2.6296,-1.5412,-0.0036,-2.7702,-0.0046,1.2427,-1.7706,-0.0967,-0.0528,0.5255,-0.0962,-0.0806,0.5421,2
64,-2.6143,-1.5047,0.0183,-2.7465,0.0182,1.2499,-1.7706,-0.0969,-0.0635,0.5320,-0.0972,-0.0912,0.5490,2
72,-2.6036,-1.4682,0.0398,-2.7218,0.0403,1.2583,-1.7664,-0.0974,-0.0742,0.5387,-0.0982,-0.1019,0.5560,2
80,-2.5965,-1.4329,0.0596,-2.6977,0.0611,1.2669,-1.7598,-0.0981,-0.0845,0.5451,-0.0979,-0.0840,0.5428,2
88,-2.5925,-1.4360,0.0606,-2.7098,0.0661,1.2722,-1.7636,-0.0982,-0.0859,0.5407,-0.0981,-0.0877,0.5278,2
96,-2.5889,-1.4484,0.0646,-2.7338,0.0688,1.2837,-1.7654,-0.0981,-0.0871,0.5329,-0.0983,-0.0914,0.5127,2
104,-2.5850,-1.4631,0.0715,-2.7646,0.0748,1.2997,-1.7650,-0.0981,-0.0893,0.5226,-0.0984,-0.0951,0.4977,2
112,-2.5805,-1.4790,0.0808,-2.7999,0.0833,1.3188,-1.7629,-0.0981,-0.0921,0.5108,-0.0986,-0.0988,0.4827,2
120,-2.5753,-1.4954,0.0919,-2.8378,0.0938,1.3402,-1.7596,-0.0981,-0.0953,0.4979,-0.0988,-0.1024,0.4677,2
128,-2.5691,-1.5117,0.1046,-2.8774,0.1061,1.3633,-1.7553,-0.0982,-0.0987,0.4843,-0.0989,-0.1061,0.4527,2
136,-2.5618,-1.5274,0.1190,-2.9177,0.1199,1.3878,-1.7501,-0.0983,-0.1023,0.4701,-0.0991,-0.1098,0.4377,2
0,1.3335,0.2448,-1.6876,-0.0844,-0.2962,0.2471,-0.4695,0.1479,0.0699,0.9409,0.1579,0.0681,0.9433,2
8,1.6799,0.2946,-2.1124,-0.1275,-0.3892,0.3063,-0.5921,0.0944,0.0820,0.9581,0.1831,0.0762,0.9840,2
16,1.9169,0.3273,-2.3731,-0.1716,-0.4519,0.3288,-0.6756,0.0497,0.0784,0.9669,0.2082,0.0843,1.0247,2
24,2.0542,0.3325,-2.4854,-0.2041,-0.4947,0.3181,-0.7225,0.0295,0.0662,0.9684,0.2333,0.0925,1.0654,2
32,2.1134,0.3225,-2.4985,-0.1998,-0.5130,0.3139,-0.7351,0.0242,0.0601,0.9689,0.2585,0.1006,1.1061,2
40,2.0937,0.3083,-2.4285,-0.1797,-0.5284,0.3128,-0.7162,0.0306,0.0619,0.9684,0.2836,0.1088,1.1468,2
48,2.0131,0.2915,-2.2631,-0.1911,-0.5329,0.3117,-0.6673,0.0608,0.0690,0.9654,0.3088,0.1169,1.1875,2
56,1.8696,0.2682,-2.0337,-0.2250,-0.5164,0.2999,-0.5934,0.1081,0.0754,0.9566,0.1085,0.0786,0.9889,2
64,1.6928,0.2324,-1.7637,-0.2540,-0.4725,0.2601,-0.4983,0.1545,0.0770,0.9411,0.1578,0.0882,1.0165,2
72,1.5126,0.1855,-1.4432,-0.2885,-0.4060,0.2214,-0.3780,0.1937,0.0801,0.9238,0.2071,0.0977,1.0440,2
80,1.3201,0.1471,-1.1431,-0.3193,-0.3308,0.1967,-0.2353,0.2179,0.0833,0.9108,0.2564,0.1072,1.0716,2
88,1.1207,0.1121,-0.8713,-0.3906,-0.2601,0.1694,-0.0717,0.2396,0.0839,0.8966,0.3057,0.1168,1.0991,2
0,-0.7444,0.7500,0.7065,-2.1071,-0.9950,2.2006,1.5622,0.5242,-0.0183,0.1071,0.5232,-0.0182,0.1073,1
