0,2.6177,-1.7418,-1.5427,-2.1660,-1.2208,0.6363,2.0924,0.3091,0.2791,0.1940,0.3096,0.2728,0.1917
8,2.5632,-1.7556,-1.5508,-2.2653,-1.4434,0.7235,2.3974,0.3123,0.2798,0.1829,0.3342,0.2429,0.1900
16,2.4101,-1.7631,-1.6134,-2.4252,-1.6648,0.8449,2.6552,0.3111,0.2542,0.1632,0.3587,0.2129,0.1882
24,2.1876,-1.7633,-1.6397,-2.4843,-1.8395,0.9977,2.8676,0.3583,0.2051,0.1608,0.3832,0.1830,0.1864
32,2.0291,-1.7571,-1.6504,-2.4899,-1.9740,1.1754,2.9039,0.4040,0.1654,0.1674,0.4077,0.1531,0.1847
40,1.9407,-1.7225,-1.6589,-2.4687,-2.0695,1.3693,2.8381,0.4409,0.1389,0.1780,0.4323,0.1232,0.1829
48,1.8861,-1.6626,-1.6702,-2.4300,-2.1264,1.5265,2.7393,0.4714,0.1107,0.1859,0.4568,0.0932,0.1811
56,1.8523,-1.5975,-1.6848,-2.3790,-2.1461,1.6373,2.6086,0.4969,0.0804,0.1889,0.4813,0.0633,0.1794
64,1.8321,-1.5477,-1.6991,-2.3180,-2.1299,1.7029,2.4471,0.5190,0.0489,0.1879,0.5059,0.0334,0.1776
72,1.8209,-1.5264,-1.7076,-2.2481,-2.0792,1.7247,2.2559,0.5386,0.0173,0.1843,0.5304,0.0035,0.1758
80,1.8165,-1.5375,-1.7055,-2.1695,-1.9957,1.7079,2.0360,0.5554,-0.0129,0.1788,0.5549,-0.0264,0.1741
88,1.8194,-1.5706,-1.6930,-2.0823,-1.8808,1.6783,1.7886,0.5700,-0.0382,0.1733,0.5794,-0.0564,0.1723
96,1.8327,-1.6033,-1.6780,-1.9861,-1.7470,1.6536,1.5461,0.5840,-0.0591,0.1687,0.6040,-0.0863,0.1706
104,1.8417,-1.6219,-1.6776,-1.9135,-1.6488,1.6480,1.3485,0.5929,-0.0754,0.1617,0.5921,-0.0697,0.1567
112,1.8468,-1.6288,-1.6997,-1.9081,-1.5932,1.6676,1.1942,0.5889,-0.0683,0.1497,0.5952,-0.0737,0.1397
120,1.8567,-1.6263,-1.7305,-1.8917,-1.5778,1.6995,1.0818,0.5897,-0.0678,0.1358,0.5983,-0.0778,0.1228
128,1.8686,-1.6260,-1.7642,-1.8687,-1.6013,1.7335,1.0103,0.5932,-0.0719,0.1193,0.6013,-0.0818,0.1058
136,1.8744,-1.6288,-1.7790,-1.8421,-1.6536,1.7543,0.9829,0.6002,-0.0832,0.1111,0.6044,-0.0859,0.0888
144,1.8821,-1.6479,-1.7677,-1.8199,-1.6786,1.7518,1.0087,0.6070,-0.0864,0.1111,0.6074,-0.0899,0.0718
152,1.8909,-1.6784,-1.7472,-1.7895,-1.6840,1.7376,1.0789,0.6141,-0.0897,0.1112,0.6105,-0.0940,0.0548
160,1.8975,-1.7107,-1.7244,-1.7558,-1.6913,1.7233,1.1900,0.6214,-0.0959,0.1112,0.6190,-0.0922,0.1119
168,1.8940,-1.7000,-1.7288,-1.7902,-1.7106,1.7122,1.2976,0.6154,-0.0864,0.1131,0.6032,-0.0679,0.1181
176,1.8857,-1.6915,-1.7350,-1.8518,-1.7191,1.6970,1.3791,0.6022,-0.0666,0.1146,0.5874,-0.0436,0.1244
184,1.8781,-1.6843,-1.7361,-1.9184,-1.7233,1.6841,1.4492,0.5876,-0.0441,0.1190,0.5717,-0.0192,0.1306
192,1.8739,-1.6783,-1.7341,-1.9839,-1.7252,1.6719,1.5143,0.5725,-0.0205,0.1247,0.5559,0.0051,0.1369
200,1.8743,-1.6734,-1.7301,-2.0456,-1.7256,1.6599,1.5772,0.5570,0.0035,0.1309,0.5401,0.0295,0.1431
208,1.8799,-1.6697,-1.7245,-2.1026,-1.7248,1.6476,1.6393,0.5414,0.0277,0.1373,0.5243,0.0538,0.1494
216,1.8909,-1.6671,-1.7176,-2.1546,-1.7228,1.6350,1.7012,0.5258,0.0520,0.1437,0.5086,0.0782,0.1556
224,1.9076,-1.6655,-1.7094,-2.2014,-1.7198,1.6221,1.7633,0.5101,0.0763,0.1502,0.4928,0.1025,0.1619
232,1.9302,-1.6649,-1.7000,-2.2428,-1.7157,1.6089,1.8258,0.4944,0.1006,0.1567,0.4770,0.1268,0.1681
240,1.9586,-1.6652,-1.6894,-2.2787,-1.7106,1.5956,1.8887,0.4787,0.1249,0.1631,0.4612,0.1512,0.1744
248,1.9931,-1.6662,-1.6778,-2.3090,-1.7044,1.5821,1.9521,0.4630,0.1492,0.1695,0.4455,0.1755,0.1806
256,2.0335,-1.6678,-1.6652,-2.3335,-1.6973,1.5686,2.0157,0.4473,0.1735,0.1759,0.4297,0.1999,0.1869
264,2.0799,-1.6697,-1.6516,-2.3522,-1.6892,1.5553,2.0793,0.4316,0.1977,0.1823,0.4139,0.2242,0.1931
272,2.1319,-1.6717,-1.6372,-2.3649,-1.6804,1.5422,2.1428,0.4159,0.2220,0.1886,0.3982,0.2486,0.1994
280,2.1878,-1.6736,-1.6238,-2.3717,-1.6714,1.5302,2.2051,0.4004,0.2456,0.1941,0.4018,0.2437,0.1963
288,2.1957,-1.6719,-1.6119,-2.3752,-1.6613,1.5228,2.2413,0.3974,0.2490,0.1993,0.3990,0.2480,0.2140
296,2.1996,-1.6662,-1.5826,-2.3765,-1.6367,1.5067,2.2411,0.3970,0.2498,0.2117,0.3961,0.2523,0.2317
304,2.2100,-1.6591,-1.5460,-2.3762,-1.6058,1.4867,2.2379,0.3954,0.2527,0.2273,0.3933,0.2565,0.2495
312,2.2239,-1.6510,-1.5066,-2.3739,-1.5721,1.4654,2.2441,0.3932,0.2565,0.2441,0.3904,0.2608,0.2672
320,2.2400,-1.6418,-1.4662,-2.3691,-1.5373,1.4438,2.2541,0.3906,0.2605,0.2614,0.3876,0.2651,0.2849
328,2.2578,-1.6314,-1.4257,-2.3617,-1.5020,1.4224,2.2657,0.3880,0.2647,0.2789,0.3847,0.2693,0.3026
0,0.1734,1.4058,-0.0009,-0.5648,-0.0003,1.1936,0.8954,0.6884,0.1202,0.0921,0.6882,0.1188,0.1095,2
8,0.1769,1.3981,-0.0086,-0.5821,0.0175,1.2078,0.8905,0.6882,0.1222,0.0908,0.6769,0.1063,0.1156,2
16,0.1848,1.2898,-0.0257,-0.7167,0.0353,1.2037,0.8902,0.6828,0.1219,0.1165,0.6656,0.0939,0.1218,2
24,0.1914,1.1321,-0.0421,-0.9719,0.0547,1.2421,0.8798,0.6600,0.1151,0.1322,0.6543,0.0814,0.1279,2
32,0.1948,1.0068,-0.0576,-1.2395,0.0724,1.3187,0.8639,0.6217,0.1017,0.1224,0.6430,0.0689,0.1340,2
40,0.1970,0.9135,-0.0734,-1.4401,0.0896,1.4209,0.8434,0.5915,0.0886,0.1149,0.6317,0.0564,0.1401,2
48,0.1986,0.8361,-0.0888,-1.5913,0.1065,1.5494,0.8199,0.5732,0.0772,0.1127,0.6204,0.0439,0.1462,2
56,0.1986,0.7710,-0.1031,-1.7105,0.1217,1.6970,0.7951,0.5640,0.0663,0.1132,0.6091,0.0315,0.1524,2
64,0.1971,0.7151,-0.1167,-1.8076,0.1346,1.8520,0.7698,0.5605,0.0551,0.1162,0.5978,0.0190,0.1585,2
72,0.1932,0.6659,-0.1290,-1.8893,0.1445,2.0097,0.7449,0.5608,0.0432,0.1218,0.5865,0.0065,0.1646,2
80,0.1863,0.6222,-0.1391,-1.9603,0.1512,2.1726,0.7213,0.5635,0.0305,0.1297,0.5634,0.0312,0.1274,2
88,0.1893,0.6149,-0.1380,-2.0143,0.1632,2.3450,0.7136,0.5649,0.0290,0.1250,0.5652,0.0264,0.1156,2
96,0.1890,0.6258,-0.1337,-2.0456,0.1736,2.4799,0.7063,0.5660,0.0280,0.1172,0.5670,0.0215,0.1037,2
104,0.1844,0.6385,-0.1298,-2.0610,0.1824,2.5700,0.6986,0.5673,0.0253,0.1114,0.5688,0.0167,0.0919,2
112,0.1764,0.6389,-0.1259,-2.0660,0.1902,2.6032,0.6952,0.5690,0.0223,0.1120,0.5705,0.0119,0.0800,2
120,0.1665,0.6426,-0.1216,-2.0614,0.1968,2.6161,0.6860,0.5716,0.0190,0.1121,0.5723,0.0070,0.0681,2
128,0.1558,0.6478,-0.1173,-2.0510,0.2030,2.6159,0.6728,0.5749,0.0156,0.1123,0.5741,0.0022,0.0563,2
136,0.1449,0.6542,-0.1133,-2.0362,0.2093,2.6069,0.6595,0.5787,0.0121,0.1124,0.5759,-0.0026,0.0444,2
144,0.1452,0.6533,-0.1178,-2.0358,0.2101,2.6058,0.6527,0.5791,0.0096,0.1132,0.5686,0.0104,0.1140,2
152,0.1546,0.6397,-0.1236,-2.0706,0.2066,2.6495,0.6560,0.5723,0.0099,0.1136,0.5499,0.0097,0.1165,2
160,0.1619,0.6185,-0.1271,-2.1176,0.2055,2.6921,0.6564,0.5615,0.0099,0.1145,0.5312,0.0089,0.1190,2
168,0.1675,0.5919,-0.1292,-2.1717,0.2058,2.7305,0.6551,0.5481,0.0096,0.1158,0.5125,0.0082,0.1215,2
176,0.1719,0.5622,-0.1302,-2.2304,0.2072,2.7657,0.6527,0.5326,0.0090,0.1173,0.4938,0.0075,0.1240,2
184,0.1752,0.5305,-0.1304,-2.2914,0.2093,2.7985,0.6496,0.5158,0.0084,0.1189,0.4751,0.0068,0.1265,2
192,0.1778,0.4978,-0.1300,-2.3536,0.2120,2.8293,0.6461,0.4981,0.0077,0.1205,0.4565,0.0060,0.1291,2
