step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
0,-1.9401,-1.7630,1.5409,-2.7748,1.2152,1.0628,-0.9083,0.2206,-0.1658,0.2255,0.2254,-0.1615,0.2280,1
8,-1.9658,-1.7630,1.5786,-2.8441,1.3310,1.1708,-0.9155,0.1972,-0.1879,0.2185,0.2268,-0.1609,0.2315,1
16,-1.9355,-1.7630,1.5811,-2.8886,1.4257,1.2409,-0.8907,0.1953,-0.1926,0.2210,0.2282,-0.1603,0.2349,1
24,-1.8579,-1.7629,1.5770,-2.9158,1.4828,1.2864,-0.8403,0.2057,-0.1839,0.2251,0.2296,-0.1596,0.2384,1
32,-1.7991,-1.7629,1.5687,-2.9316,1.5161,1.3157,-0.7998,0.2147,-0.1758,0.2295,0.2309,-0.1590,0.2419,1
40,-1.7609,-1.7629,1.5580,-2.9410,1.5334,1.3343,-0.7722,0.2207,-0.1701,0.2337,0.2323,-0.1584,0.2453,1
48,-1.7364,-1.7629,1.5458,-2.9462,1.5402,1.3457,-0.7532,0.2250,-0.1660,0.2377,0.2337,-0.1577,0.2488,1
56,-1.7209,-1.7629,1.5326,-2.9483,1.5399,1.3525,-0.7400,0.2282,-0.1631,0.2416,0.2351,-0.1571,0.2523,1
64,-1.7115,-1.7629,1.5188,-2.9484,1.5351,1.3559,-0.7306,0.2308,-0.1609,0.2453,0.2365,-0.1564,0.2557,1
72,-1.7062,-1.7629,1.5047,-2.9470,1.5274,1.3569,-0.7237,0.2329,-0.1592,0.2489,0.2379,-0.1558,0.2592,1
80,-1.7032,-1.7629,1.4918,-2.9451,1.5182,1.3571,-0.7188,0.2345,-0.1580,0.2521,0.2346,-0.1580,0.2500,1
88,-1.6963,-1.7616,1.5103,-2.9486,1.5300,1.3655,-0.7151,0.2336,-0.1581,0.2481,0.2352,-0.1576,0.2340,1
96,-1.6868,-1.7567,1.5454,-2.9518,1.5665,1.3794,-0.7089,0.2342,-0.1581,0.2400,0.2358,-0.1573,0.2181,1
104,-1.6766,-1.7489,1.5911,-2.9535,1.6126,1.3969,-0.7013,0.2352,-0.1580,0.2292,0.2364,-0.1569,0.2021,1
112,-1.6676,-1.7392,1.6432,-2.9531,1.6639,1.4173,-0.6933,0.2362,-0.1580,0.2167,0.2370,-0.1565,0.1861,1
120,-1.6606,-1.7281,1.6991,-2.9501,1.7180,1.4399,-0.6854,0.2372,-0.1579,0.2031,0.2376,-0.1561,0.1702,1
128,-1.6564,-1.7165,1.7567,-2.9442,1.7734,1.4641,-0.6781,0.2382,-0.1577,0.1888,0.2382,-0.1558,0.1542,1
136,-1.6551,-1.7051,1.8146,-2.9352,1.8287,1.4893,-0.6717,0.2391,-0.1575,0.1739,0.2388,-0.1554,0.1382,1
0,-0.7697,-0.1847,0.1124,-0.3374,-0.2273,0.0811,-0.1834,0.0562,-0.0553,0.9384,0.0602,-0.0559,0.9429,2
8,-0.7980,-0.1915,0.0728,-0.3514,-0.2458,0.1130,-0.1815,0.0499,-0.0655,0.9409,0.0846,-0.0700,0.9814,2
16,-0.7646,-0.1818,0.0318,-0.3444,-0.2573,0.1293,-0.1585,0.0490,-0.0740,0.9418,0.1091,-0.0842,1.0199,2
24,-0.7236,-0.1810,0.0572,-0.3448,-0.2848,0.1293,-0.1108,0.0538,-0.0706,0.9419,0.1336,-0.0983,1.0585,2
32,-0.7138,-0.1801,0.0997,-0.3462,-0.2940,0.1292,-0.0451,0.0603,-0.0653,0.9419,0.1581,-0.1124,1.0970,2
40,-0.6950,-0.1782,0.1355,-0.3442,-0.3015,0.1291,0.0109,0.0660,-0.0598,0.9420,0.1826,-0.1266,1.1356,2
48,-0.6350,-0.1780,0.1165,-0.3452,-0.3004,0.1289,0.0640,0.0676,-0.0588,0.9418,0.2070,-0.1407,1.1741,2
56,-0.6157,-0.1784,0.0786,-0.3538,-0.2805,0.1350,0.1087,0.0680,-0.0635,0.9416,0.0927,-0.0736,0.9675,2
64,-0.6202,-0.1700,0.0743,-0.3639,-0.2526,0.1413,0.1524,0.0763,-0.0674,0.9405,0.1212,-0.0903,0.9970,2
72,-0.6024,-0.1403,0.0814,-0.3503,-0.2250,0.1369,0.1933,0.0914,-0.0708,0.9378,0.1496,-0.1070,1.0264,2
80,-0.5859,-0.1284,0.0827,-0.3508,-0.2138,0.1376,0.2031,0.0997,-0.0724,0.9363,0.1781,-0.1237,1.0558,2
88,-0.5191,-0.1251,0.0561,-0.3482,-0.2315,0.1379,0.1851,0.1014,-0.0721,0.9362,0.2065,-0.1404,1.0852,2
0,-0.6367,0.6687,0.6018,-2.1697,-0.9859,2.2555,1.6157,0.5073,-0.0112,0.1057,0.5084,-0.0113,0.1060,2
8,-0.7410,0.6858,0.6617,-2.1944,-1.0151,2.3350,1.5630,0.5059,-0.0204,0.1085,0.5143,-0.0098,0.1106,2
16,-0.8069,0.7113,0.7022,-2.1967,-1.0186,2.3819,1.5041,0.5085,-0.0256,0.1099,0.5202,-0.0083,0.1152,2
24,-0.8457,0.7368,0.7354,-2.1887,-1.0227,2.3871,1.4779,0.5117,-0.0266,0.1107,0.5261,-0.0068,0.1198,2
32,-0.8708,0.7607,0.7639,-2.1777,-1.0272,2.3810,1.4662,0.5154,-0.0250,0.1115,0.5320,-0.0053,0.1244,2
40,-0.8864,0.7836,0.7906,-2.1657,-1.0305,2.3885,1.4606,0.5211,-0.0191,0.1140,0.5379,-0.0037,0.1290,2
48,-0.8927,0.7994,0.8122,-2.1524,-1.0276,2.4303,1.4547,0.5308,-0.0100,0.1209,0.5438,-0.0022,0.1336,2
56,-0.8940,0.8070,0.8273,-2.1382,-1.0188,2.4420,1.4470,0.5385,-0.0052,0.1271,0.5497,-0.0007,0.1382,2
64,-0.8893,0.8174,0.8234,-2.1311,-1.0247,2.4544,1.4495,0.5406,-0.0038,0.1250,0.5424,-0.0035,0.1180,2
72,-0.8705,0.8439,0.7973,-2.1175,-1.0512,2.4734,1.4637,0.5409,-0.0036,0.1125,0.5446,-0.0027,0.1001,2
80,-0.8462,0.8435,0.7823,-2.1039,-1.0641,2.4797,1.4751,0.5451,-0.0005,0.1117,0.5467,-0.0020,0.0823,2
88,-0.8135,0.8468,0.7671,-2.0840,-1.0649,2.4944,1.4655,0.5520,0.0067,0.1117,0.5489,-0.0012,0.0645,2
96,-0.7755,0.8507,0.7495,-2.0574,-1.0563,2.5001,1.4498,0.5604,0.0139,0.1116,0.5511,-0.0004,0.0467,2
104,-0.7591,0.8579,0.7457,-2.0411,-1.0401,2.4990,1.4534,0.5652,0.0183,0.1114,0.5608,0.0125,0.0937,2
