step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
112,-0.7478,0.8566,0.7344,-2.0347,-1.0459,2.5139,1.4700,0.5677,0.0186,0.1114,0.5560,0.0058,0.0650,2
0,0.2014,0.5682,0.1082,-2.2456,-0.4030,1.9143,1.1264,0.4044,0.1078,0.0843,0.4044,0.1080,0.0845,0
10,0.1342,0.4817,0.1107,-2.3586,-0.4344,2.0173,1.2881,0.3916,0.0798,0.0970,0.3925,0.0980,0.1043,0
20,0.0477,0.3822,0.1333,-2.5213,-0.4340,2.2707,1.3326,0.3702,0.0648,0.1049,0.3806,0.0880,0.1241,0
30,-0.0339,0.3144,0.1668,-2.6541,-0.4156,2.5375,1.3085,0.3540,0.0606,0.1118,0.3687,0.0781,0.1439,0
40,-0.1063,0.2387,0.2320,-2.7464,-0.3400,2.7919,1.2368,0.3550,0.0689,0.1351,0.3568,0.0681,0.1637,0
50,-0.1750,0.1451,0.3085,-2.8148,-0.2140,2.9405,1.1248,0.3576,0.0682,0.1652,0.3567,0.0684,0.1594,0
60,-0.0872,0.2047,0.2036,-2.8064,-0.1442,3.0059,1.0712,0.3599,0.0587,0.1502,0.3530,0.0652,0.1256,0
70,0.0473,0.3188,0.0694,-2.7893,-0.1771,3.1000,1.1083,0.3542,0.0597,0.1191,0.3494,0.0620,0.0919,0
80,0.1247,0.3567,-0.0037,-2.7908,-0.2027,3.1781,1.1341,0.3524,0.0613,0.1115,0.3521,0.0610,0.1088,0
90,0.1377,0.3616,-0.0170,-2.7857,-0.2106,3.1850,1.1308,0.3544,0.0615,0.1112,0.3490,0.0600,0.0839,0
0,0.3431,0.4518,1.5297,-0.3016,-0.5306,0.1593,0.4128,0.2360,0.2688,0.8404,0.2413,0.2667,0.8431,2
8,0.3284,0.5814,1.9732,-0.4199,-0.6920,0.2191,0.5675,0.2229,0.3047,0.8335,0.2747,0.2958,0.8517,2
16,0.3414,0.6777,2.2553,-0.5171,-0.8334,0.2908,0.7349,0.2100,0.3205,0.8386,0.3081,0.3250,0.8604,2
24,0.3494,0.7082,2.3889,-0.5169,-0.9408,0.3670,0.9197,0.2150,0.3203,0.8510,0.3415,0.3541,0.8690,2
32,0.3318,0.6923,2.3812,-0.4903,-1.0122,0.4332,1.0958,0.2300,0.3211,0.8575,0.3748,0.3832,0.8777,2
40,0.3129,0.6623,2.2865,-0.5006,-1.0647,0.4916,1.2562,0.2394,0.3320,0.8573,0.4082,0.4124,0.8863,2
48,0.3140,0.6582,2.2030,-0.4950,-1.0967,0.5390,1.4154,0.2577,0.3446,0.8496,0.4416,0.4415,0.8950,2
56,0.3223,0.6528,2.1170,-0.4943,-1.1241,0.5736,1.5658,0.2723,0.3563,0.8411,0.2924,0.3639,0.8409,2
64,0.3327,0.6094,1.9538,-0.4786,-1.1314,0.6127,1.6858,0.2861,0.3620,0.8373,0.3296,0.3836,0.8324,2
72,0.3294,0.5296,1.6900,-0.4642,-1.1128,0.6383,1.7681,0.3074,0.3498,0.8378,0.3668,0.4033,0.8240,2
80,0.3398,0.4528,1.3908,-0.4727,-1.0723,0.6633,1.8208,0.3297,0.3316,0.8388,0.4039,0.4230,0.8155,2
88,0.3669,0.4028,1.1154,-0.5047,-1.0077,0.6942,1.8471,0.3527,0.3190,0.8333,0.4411,0.4427,0.8071,2
0,-0.6984,-0.0514,0.4935,-0.6451,0.0481,0.2496,0.3440,0.2610,-0.0352,0.8850,0.2587,-0.0326,0.8857,2
8,-0.7784,-0.1020,0.4716,-0.7746,0.0747,0.3793,0.4028,0.2807,-0.0537,0.8758,0.2646,-0.0274,0.8861,2
16,-0.8065,-0.1701,0.4412,-0.8812,0.1151,0.5015,0.4282,0.2878,-0.0540,0.8737,0.2706,-0.0222,0.8865,2
24,-0.8158,-0.2345,0.4259,-0.9440,0.1451,0.5833,0.4442,0.2844,-0.0423,0.8784,0.2765,-0.0170,0.8869,2
32,-0.8187,-0.2730,0.4226,-0.9790,0.1653,0.6347,0.4646,0.2828,-0.0321,0.8815,0.2825,-0.0117,0.8873,2
40,-0.8197,-0.2926,0.4273,-0.9963,0.1802,0.6687,0.4881,0.2838,-0.0240,0.8835,0.2884,-0.0065,0.8877,2
48,-0.8198,-0.2992,0.4388,-1.0010,0.1895,0.6912,0.5126,0.2866,-0.0170,0.8847,0.2944,-0.0013,0.8881,2
56,-0.8199,-0.3210,0.4330,-1.0367,0.1956,0.7196,0.5232,0.2879,-0.0149,0.8821,0.2884,-0.0134,0.8697,2
64,-0.8181,-0.3605,0.4191,-1.1066,0.2034,0.7608,0.5085,0.2894,-0.0134,0.8748,0.2901,-0.0103,0.8523,2
72,-0.8146,-0.4062,0.4067,-1.1899,0.2120,0.8064,0.4925,0.2910,-0.0109,0.8643,0.2917,-0.0072,0.8350,2
80,-0.8100,-0.4534,0.3969,-1.2780,0.2206,0.8532,0.4784,0.2926,-0.0082,0.8516,0.2933,-0.0041,0.8177,2
88,-0.8046,-0.4997,0.3900,-1.3664,0.2292,0.8997,0.4667,0.2942,-0.0053,0.8374,0.2949,-0.0010,0.8003,2
