step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
40,-2.2796,-0.2138,0.1244,-0.3472,-0.2200,0.1376,-0.5957,-0.0438,-0.0548,0.9448,0.1418,-0.1668,1.1528,1
48,-2.1946,-0.2132,0.1242,-0.3608,-0.2410,0.1397,-0.5892,-0.0429,-0.0607,0.9443,0.1629,-0.1906,1.1941,1
56,-2.0745,-0.2278,0.0927,-0.3886,-0.2389,0.1482,-0.5881,-0.0401,-0.0626,0.9444,-0.0056,-0.0846,0.9732,1
64,-1.9096,-0.2260,0.0395,-0.3892,-0.2150,0.1610,-0.6051,-0.0385,-0.0677,0.9451,0.0359,-0.1110,1.0062,1
72,-1.7143,-0.2249,0.0440,-0.3925,-0.2000,0.1674,-0.6044,-0.0226,-0.0768,0.9453,0.0774,-0.1374,1.0392,1
80,-1.4902,-0.2232,0.0458,-0.3883,-0.2071,0.1682,-0.5752,-0.0054,-0.0798,0.9456,0.1189,-0.1638,1.0722,1
88,-1.2579,-0.2178,0.0723,-0.3843,-0.2107,0.1694,-0.5169,0.0188,-0.0797,0.9456,0.1604,-0.1902,1.1052,1
0,-0.7498,0.7167,0.5963,-2.0769,-0.9018,2.2531,1.3530,0.5302,-0.0816,0.1072,0.5297,-0.0801,0.1075,1
8,-0.8308,0.7194,0.6391,-2.1174,-0.9302,2.3465,1.3244,0.5246,-0.0875,0.1097,0.5247,-0.0663,0.1119,1
16,-0.8763,0.7225,0.6642,-2.1493,-0.9516,2.4278,1.3266,0.5208,-0.0856,0.1114,0.5198,-0.0525,0.1164,1
24,-0.8910,0.7250,0.6880,-2.1830,-0.9640,2.5041,1.3457,0.5177,-0.0680,0.1135,0.5148,-0.0386,0.1208,1
32,-0.8889,0.7201,0.7093,-2.2156,-0.9685,2.5503,1.3699,0.5131,-0.0465,0.1165,0.5099,-0.0248,0.1253,1
40,-0.8828,0.7075,0.7262,-2.2427,-0.9689,2.5725,1.3959,0.5083,-0.0295,0.1207,0.5050,-0.0110,0.1297,1
48,-0.8746,0.6919,0.7417,-2.2666,-0.9669,2.5837,1.4223,0.5035,-0.0143,0.1252,0.5000,0.0028,0.1342,1
56,-0.8654,0.6753,0.7569,-2.2885,-0.9632,2.5895,1.4487,0.4986,0.0000,0.1297,0.4951,0.0167,0.1386,1
64,-0.8525,0.6762,0.7524,-2.2952,-0.9736,2.5986,1.4686,0.4958,0.0066,0.1276,0.4963,0.0074,0.1200,1
72,-0.8253,0.7024,0.7196,-2.2838,-1.0075,2.6146,1.4954,0.4946,0.0080,0.1153,0.4956,0.0107,0.1018,1
80,-0.7912,0.7038,0.6910,-2.2744,-1.0461,2.6322,1.5264,0.4962,0.0114,0.1116,0.4949,0.0140,0.0836,1
88,-0.7503,0.7075,0.6744,-2.2605,-1.0860,2.6550,1.5388,0.5006,0.0242,0.1115,0.4942,0.0173,0.0653,1
96,-0.7090,0.7111,0.6552,-2.2434,-1.1242,2.6769,1.5560,0.5055,0.0354,0.1114,0.4935,0.0206,0.0471,1
104,-0.7018,0.7235,0.6596,-2.2325,-1.1338,2.6867,1.5765,0.5086,0.0421,0.1113,0.5040,0.0344,0.0936,1
112,-0.6950,0.7261,0.6529,-2.2239,-1.1117,2.6911,1.5888,0.5121,0.0410,0.1112,0.4982,0.0277,0.0652,1
0,0.2059,0.5035,0.0269,-2.3950,-0.4112,1.9650,1.1166,0.3644,0.0618,0.0838,0.3671,0.0651,0.0838,1
10,0.1502,0.4081,0.0323,-2.5274,-0.4312,2.1242,1.2429,0.3447,0.0467,0.0945,0.3790,0.0888,0.1020,1
20,0.1022,0.3660,0.0705,-2.6053,-0.3935,2.2706,1.2938,0.3328,0.0527,0.0960,0.3909,0.1126,0.1203,1
30,0.0753,0.3523,0.1267,-2.6120,-0.3661,2.2648,1.3208,0.3296,0.0657,0.1001,0.4027,0.1363,0.1385,1
40,0.0646,0.3369,0.1965,-2.5910,-0.3189,2.2751,1.3403,0.3392,0.0936,0.1101,0.4146,0.1600,0.1567,1
50,0.0660,0.3203,0.2495,-2.5532,-0.2792,2.3674,1.3558,0.3651,0.1277,0.1264,0.3651,0.1266,0.1231,1
60,0.1270,0.3455,0.1871,-2.5998,-0.2909,2.5405,1.4026,0.3574,0.1301,0.1115,0.3859,0.1455,0.0990,1
70,0.1906,0.3586,0.1394,-2.5707,-0.3554,2.5454,1.4211,0.3664,0.1380,0.1113,0.4067,0.1643,0.0749,1
80,0.2262,0.3918,0.1184,-2.4790,-0.4032,2.3964,1.4321,0.3845,0.1415,0.1115,0.3854,0.1431,0.1083,1
90,0.2033,0.3897,0.1214,-2.4692,-0.4198,2.3536,1.4731,0.3880,0.1314,0.1133,0.4064,0.1632,0.0793,1
0,0.0091,0.3979,1.4041,-0.0765,-0.4325,0.1826,0.4031,0.2935,0.1123,0.8697,0.2896,0.1129,0.8736,0
8,0.0026,0.4653,1.6349,-0.1295,-0.5649,0.2768,0.5443,0.3230,0.1399,0.8608,0.2895,0.1374,0.8968,0
16,-0.0184,0.5060,1.7333,-0.2147,-0.6750,0.3545,0.7025,0.3458,0.1638,0.8527,0.2895,0.1619,0.9201,0
24,-0.0630,0.5091,1.7142,-0.3099,-0.7487,0.4250,0.8797,0.3640,0.1767,0.8474,0.2894,0.1865,0.9433,0
32,-0.1449,0.4752,1.6550,-0.3986,-0.7931,0.4743,1.0633,0.3748,0.1709,0.8483,0.2894,0.2110,0.9666,0
40,-0.2091,0.4079,1.5198,-0.4560,-0.8041,0.5075,1.2213,0.3794,0.1550,0.8534,0.2893,0.2355,0.9899,0
48,-0.2267,0.3391,1.3496,-0.4854,-0.7867,0.5232,1.3499,0.3789,0.1392,0.8589,0.2893,0.2600,1.0131,0
56,-0.2950,0.3014,1.2927,-0.5385,-0.7433,0.5490,1.4533,0.3832,0.1276,0.8585,0.3630,0.1593,0.8712,0
64,-0.3434,0.3079,1.3107,-0.5343,-0.6823,0.5790,1.5209,0.3890,0.1196,0.8596,0.3451,0.1845,0.8845,0
72,-0.3997,0.2824,1.2744,-0.5096,-0.5991,0.5919,1.5527,0.3825,0.0993,0.8702,0.3272,0.2096,0.8978,0
80,-0.4440,0.2407,1.1437,-0.4784,-0.4911,0.5942,1.5526,0.3744,0.0672,0.8811,0.3094,0.2348,0.9111,0
88,-0.4259,0.2203,0.9793,-0.4661,-0.3892,0.5930,1.5394,0.3752,0.0481,0.8815,0.2915,0.2600,0.9244,0
0,-0.9147,-0.8521,0.3015,-1.3905,0.3241,0.2972,0.0699,0.1064,0.1091,0.8318,0.1098,0.1021,0.8385,0
8,-0.9945,-0.9776,0.2977,-1.4892,0.3731,0.3800,0.0947,0.1063,0.1300,0.8143,0.1464,0.0736,0.8618,0
16,-1.0511,-1.0376,0.3024,-1.4726,0.3883,0.4391,0.1292,0.1053,0.1522,0.8168,0.1831,0.0451,0.8851,0
24,-1.1105,-1.0335,0.3350,-1.3444,0.3970,0.4755,0.1713,0.1114,0.1840,0.8348,0.2197,0.0165,0.9084,0
32,-1.1830,-0.9726,0.4214,-1.1303,0.3952,0.4813,0.2366,0.1313,0.2253,0.8542,0.2564,-0.0120,0.9317,0
40,-1.2413,-0.8735,0.5623,-0.8976,0.3660,0.4785,0.3290,0.1560,0.2609,0.8663,0.2930,-0.0405,0.9550,0
48,-1.2829,-0.7661,0.7425,-0.7425,0.3201,0.4858,0.4274,0.1852,0.2756,0.8693,0.3296,-0.0690,0.9782,0
56,-1.3014,-0.7029,0.8859,-0.7003,0.2896,0.4948,0.5210,0.2093,0.2809,0.8631,0.2146,0.2153,0.8729,0
64,-1.2297,-0.6794,0.9204,-0.7961,0.2988,0.5326,0.6246,0.2240,0.2763,0.8535,0.2436,0.1455,0.8773,0
72,-1.1021,-0.6333,0.8781,-0.8939,0.3316,0.5897,0.6942,0.2264,0.2571,0.8575,0.2726,0.0757,0.8818,0
80,-1.0114,-0.5746,0.7754,-0.9396,0.3512,0.6393,0.7275,0.2297,0.2117,0.8766,0.3016,0.0059,0.8862,0
88,-0.9676,-0.4805,0.7000,-0.9233,0.3466,0.6708,0.7278,0.2438,0.1540,0.8964,0.3306,-0.0639,0.8906,0
