step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
0,-2.3300,-1.7621,0.6290,-2.8299,0.6973,0.9449,-1.2297,0.0975,-0.1558,0.4374,0.1029,-0.1540,0.4386,1
8,-2.3581,-1.7280,0.5928,-2.8590,0.6866,1.0721,-1.3525,0.0714,-0.1679,0.4420,0.1089,-0.1560,0.4438,1
16,-2.3195,-1.7324,0.6068,-2.8566,0.6899,1.1367,-1.4139,0.0758,-0.1723,0.4458,0.1149,-0.1581,0.4490,1
24,-2.2708,-1.7440,0.6198,-2.8451,0.6968,1.1635,-1.4406,0.0883,-0.1719,0.4504,0.1208,-0.1601,0.4542,1
32,-2.2471,-1.7517,0.6295,-2.8288,0.7053,1.1537,-1.4352,0.0997,-0.1699,0.4533,0.1268,-0.1622,0.4595,1
40,-2.2401,-1.7567,0.6369,-2.8095,0.7147,1.1305,-1.3997,0.1097,-0.1680,0.4561,0.1327,-0.1642,0.4647,1
48,-2.2440,-1.7601,0.6422,-2.7879,0.7245,1.1088,-1.3396,0.1183,-0.1673,0.4596,0.1387,-0.1663,0.4699,1
56,-2.2547,-1.7623,0.6461,-2.7649,0.7345,1.0885,-1.2925,0.1260,-0.1674,0.4637,0.1447,-0.1683,0.4751,1
64,-2.2653,-1.7613,0.6491,-2.7417,0.7433,1.0723,-1.2589,0.1332,-0.1680,0.4681,0.1506,-0.1704,0.4804,1
72,-2.2750,-1.7567,0.6514,-2.7182,0.7513,1.0596,-1.2334,0.1401,-0.1692,0.4726,0.1566,-0.1724,0.4856,1
80,-2.2835,-1.7506,0.6532,-2.6959,0.7583,1.0498,-1.2136,0.1464,-0.1705,0.4771,0.1461,-0.1705,0.4749,1
88,-2.2752,-1.7560,0.6626,-2.7055,0.7661,1.0537,-1.2012,0.1469,-0.1707,0.4730,0.1482,-0.1710,0.4593,1
96,-2.2494,-1.7596,0.6822,-2.7261,0.7802,1.0692,-1.1798,0.1476,-0.1712,0.4648,0.1504,-0.1715,0.4438,1
104,-2.2133,-1.7619,0.7090,-2.7525,0.7995,1.0914,-1.1534,0.1489,-0.1718,0.4541,0.1525,-0.1720,0.4282,1
112,-2.1718,-1.7630,0.7415,-2.7821,0.8236,1.1175,-1.1250,0.1506,-0.1725,0.4417,0.1546,-0.1725,0.4127,1
120,-2.1280,-1.7630,0.7786,-2.8131,0.8521,1.1454,-1.0965,0.1525,-0.1733,0.4281,0.1567,-0.1730,0.3971,1
128,-2.0842,-1.7630,0.8201,-2.8442,0.8850,1.1735,-1.0691,0.1546,-0.1739,0.4138,0.1589,-0.1735,0.3816,1
136,-2.0416,-1.7629,0.8656,-2.8745,0.9225,1.2009,-1.0434,0.1569,-0.1745,0.3990,0.1610,-0.1740,0.3660,1
0,-1.3419,-0.2064,0.1936,-0.2916,-0.1533,0.0802,-0.3590,0.0309,-0.0466,0.9414,0.0362,-0.0479,0.9462,1
8,-1.7477,-0.2330,0.1471,-0.3489,-0.1463,0.1137,-0.4670,0.0042,-0.0581,0.9434,0.0573,-0.0717,0.9875,1
16,-2.0390,-0.2252,0.1138,-0.3526,-0.1345,0.1355,-0.5431,-0.0212,-0.0622,0.9447,0.0784,-0.0955,1.0288,1
24,-2.2215,-0.2190,0.1269,-0.3524,-0.1488,0.1386,-0.5903,-0.0336,-0.0611,0.9446,0.0995,-0.1192,1.0702,1
32,-2.2965,-0.2169,0.1517,-0.3506,-0.1934,0.1374,-0.6029,-0.0379,-0.0588,0.9447,0.1207,-0.1430,1.1115,1
