step,j1,j2,j3,j4,j5,j6,j7,ee_x,ee_y,ee_z,goal_x,goal_y,goal_z,color_id
88,-0.9248,0.7620,0.7107,-2.1803,-1.0821,2.5808,1.3359,0.5215,-0.0631,0.1125,0.5194,-0.0686,0.0648,2
96,-0.8845,0.7608,0.6807,-2.1544,-1.1008,2.6054,1.2594,0.5311,-0.0613,0.1134,0.5218,-0.0696,0.0467,2
104,-0.8676,0.7711,0.6734,-2.1381,-1.0803,2.6216,1.1800,0.5374,-0.0578,0.1129,0.5322,-0.0631,0.0953,2
112,-0.8464,0.7651,0.6478,-2.1260,-1.0406,2.6318,1.1712,0.5415,-0.0631,0.1127,0.5271,-0.0667,0.0658,2
0,0.1602,0.6376,0.3033,-2.1092,-0.4720,1.8848,1.1464,0.4254,0.1935,0.0899,0.4256,0.1930,0.0895,0
10,0.1062,0.5417,0.3088,-2.2330,-0.5656,1.9544,1.3897,0.4140,0.1622,0.1053,0.4159,0.1830,0.1081,0
20,0.0157,0.4553,0.3367,-2.3908,-0.5479,2.2074,1.5635,0.3944,0.1467,0.1095,0.4062,0.1730,0.1267,0
30,-0.0627,0.4046,0.3653,-2.4995,-0.5527,2.4469,1.5850,0.3844,0.1404,0.1143,0.3966,0.1630,0.1453,0
40,-0.1344,0.3430,0.4221,-2.5786,-0.5129,2.6611,1.5455,0.3827,0.1474,0.1345,0.3869,0.1530,0.1638,0
50,-0.2061,0.2661,0.4929,-2.6418,-0.4274,2.8045,1.4692,0.3835,0.1500,0.1614,0.3829,0.1500,0.1561,0
60,-0.1231,0.3174,0.3899,-2.6358,-0.3988,2.8857,1.4511,0.3867,0.1449,0.1453,0.3813,0.1479,0.1232,0
70,0.0180,0.4044,0.2347,-2.6148,-0.4741,2.9739,1.5257,0.3836,0.1445,0.1160,0.3797,0.1458,0.0902,0
80,0.1342,0.4176,0.1183,-2.6123,-0.5650,3.0362,1.5962,0.3816,0.1474,0.1115,0.3816,0.1470,0.1088,0
90,0.1355,0.4236,0.1127,-2.6047,-0.5927,3.0461,1.6089,0.3836,0.1483,0.1112,0.3798,0.1454,0.0834,0
0,-0.1410,0.4803,1.5256,-0.0737,-0.4102,0.2013,0.3860,0.3385,0.0716,0.8523,0.3387,0.0718,0.8590,1
8,-0.1460,0.5912,1.7781,-0.1193,-0.5322,0.3084,0.5019,0.3877,0.0906,0.8316,0.3958,0.0864,0.8913,1
16,-0.1294,0.6737,1.8830,-0.1783,-0.6250,0.3940,0.6353,0.4256,0.1160,0.8103,0.4529,0.1011,0.9235,1
24,-0.1511,0.7309,1.8782,-0.3037,-0.6922,0.4695,0.7625,0.4574,0.1433,0.7861,0.5100,0.1158,0.9558,1
32,-0.1914,0.7724,1.8048,-0.4668,-0.7413,0.5467,0.8697,0.4889,0.1711,0.7513,0.5671,0.1305,0.9880,1
40,-0.2051,0.7890,1.6626,-0.5856,-0.7730,0.6117,0.9670,0.5210,0.1903,0.7070,0.6242,0.1452,1.0202,1
48,-0.2134,0.7678,1.4622,-0.6769,-0.7860,0.6828,1.0384,0.5531,0.1912,0.6641,0.6813,0.1598,1.0525,1
56,-0.2296,0.7353,1.2998,-0.7675,-0.7791,0.7608,1.1016,0.5772,0.1834,0.6304,0.5798,0.1855,0.7131,1
64,-0.2087,0.6951,1.1103,-0.7985,-0.7505,0.8434,1.1580,0.6005,0.1658,0.6097,0.6062,0.1797,0.7745,1
72,-0.1574,0.6529,0.8830,-0.7852,-0.6977,0.8988,1.1970,0.6191,0.1358,0.6023,0.6325,0.1740,0.8360,1
80,-0.1182,0.6278,0.6953,-0.7392,-0.6191,0.9200,1.2161,0.6285,0.1000,0.6092,0.6588,0.1682,0.8974,1
88,-0.0736,0.6239,0.5100,-0.6866,-0.5214,0.9168,1.2072,0.6340,0.0681,0.6119,0.6851,0.1624,0.9588,1
0,-1.0409,-0.6285,0.4860,-1.1683,0.3189,0.2516,0.0820,0.1803,0.0954,0.8494,0.1763,0.0952,0.8521,1
8,-1.1621,-0.7115,0.4822,-1.2460,0.3793,0.3520,0.1067,0.1982,0.0951,0.8394,0.1788,0.0939,0.8519,1
16,-1.2033,-0.7676,0.4375,-1.2820,0.4202,0.4211,0.1301,0.1948,0.0935,0.8421,0.1813,0.0927,0.8516,1
24,-1.2235,-0.8044,0.4068,-1.3053,0.4474,0.4691,0.1471,0.1913,0.0936,0.8447,0.1837,0.0914,0.8514,1
32,-1.2371,-0.8276,0.3877,-1.3211,0.4656,0.5027,0.1592,0.1894,0.0934,0.8465,0.1862,0.0902,0.8512,1
40,-1.2469,-0.8419,0.3764,-1.3318,0.4780,0.5267,0.1677,0.1889,0.0928,0.8477,0.1886,0.0889,0.8510,1
48,-1.2543,-0.8504,0.3701,-1.3389,0.4866,0.5441,0.1735,0.1893,0.0920,0.8485,0.1911,0.0877,0.8508,1
56,-1.2573,-0.8678,0.3649,-1.3629,0.4919,0.5620,0.1736,0.1896,0.0919,0.8457,0.1898,0.0912,0.8332,1
64,-1.2561,-0.8994,0.3606,-1.4110,0.4925,0.5860,0.1648,0.1901,0.0923,0.8381,0.1902,0.0903,0.8156,1
72,-1.2526,-0.9384,0.3577,-1.4728,0.4909,0.6133,0.1516,0.1907,0.0925,0.8273,0.1906,0.0894,0.7981,1
80,-1.2478,-0.9813,0.3563,-1.5416,0.4889,0.6420,0.1364,0.1913,0.0925,0.8143,0.1910,0.0885,0.7805,1
88,-1.2424,-1.0260,0.3564,-1.6137,0.4874,0.6710,0.1209,0.1919,0.0922,0.7998,0.1914,0.0876,0.7630,1
